"ICD10_code";"ICD10_code_dot";"diagnosis";"code_description"
"A44";"A44";"Bartonellosis";"A44 Bartonellosis"
"A46";"A46";"Erysipelas";"A46 Erysipelas"
"A48";"A48";"Other bacterial diseases, not elsewhere classified";"A48 Other bacterial diseases, not elsewhere classified"
"A49";"A49";"Bacterial infection of unspecified site";"A49 Bacterial infection of unspecified site"
"A50";"A50";"Congenital syphilis";"A50 Congenital syphilis"
"A51";"A51";"Early syphilis";"A51 Early syphilis"
"A52";"A52";"Late syphilis";"A52 Late syphilis"
"A53";"A53";"Other and unspecified syphilis";"A53 Other and unspecified syphilis"
"A54";"A54";"Gonococcal infection";"A54 Gonococcal infection"
"A55";"A55";"Chlamydial lymphogranuloma (venereum)";"A55 Chlamydial lymphogranuloma (venereum)"
"A56";"A56";"Other sexually transmitted chlamydial diseases";"A56 Other sexually transmitted chlamydial diseases"
"A57";"A57";"Chancroid";"A57 Chancroid"
"A58";"A58";"Granuloma inguinale";"A58 Granuloma inguinale"
"A59";"A59";"Trichomoniasis";"A59 Trichomoniasis"
"A60";"A60";"Anogenital herpesviral [herpes simplex] infections";"A60 Anogenital herpesviral [herpes simplex] infections"
"A63";"A63";"Oth predominantly sexually transmitted diseases, NEC";"A63 Oth predominantly sexually transmitted diseases, NEC"
"A64";"A64";"Unspecified sexually transmitted disease";"A64 Unspecified sexually transmitted disease"
"A65";"A65";"Nonvenereal syphilis";"A65 Nonvenereal syphilis"
"A66";"A66";"Yaws";"A66 Yaws"
"A67";"A67";"Pinta [carate]";"A67 Pinta [carate]"
"A68";"A68";"Relapsing fevers";"A68 Relapsing fevers"
"A69";"A69";"Other spirochetal infections";"A69 Other spirochetal infections"
"A70";"A70";"Chlamydia psittaci infections";"A70 Chlamydia psittaci infections"
"A71";"A71";"Trachoma";"A71 Trachoma"
"A74";"A74";"Other diseases caused by chlamydiae";"A74 Other diseases caused by chlamydiae"
"A75";"A75";"Typhus fever";"A75 Typhus fever"
"A77";"A77";"Spotted fever [tick-borne rickettsioses]";"A77 Spotted fever [tick-borne rickettsioses]"
"A78";"A78";"Q fever";"A78 Q fever"
"A79";"A79";"Other rickettsioses";"A79 Other rickettsioses"
"A80";"A80";"Acute poliomyelitis";"A80 Acute poliomyelitis"
"A81";"A81";"Atypical virus infections of central nervous system";"A81 Atypical virus infections of central nervous system"
"A82";"A82";"Rabies";"A82 Rabies"
"A83";"A83";"Mosquito-borne viral encephalitis";"A83 Mosquito-borne viral encephalitis"
"A84";"A84";"Tick-borne viral encephalitis";"A84 Tick-borne viral encephalitis"
"A85";"A85";"Other viral encephalitis, not elsewhere classified";"A85 Other viral encephalitis, not elsewhere classified"
"A86";"A86";"Unspecified viral encephalitis";"A86 Unspecified viral encephalitis"
"A87";"A87";"Viral meningitis";"A87 Viral meningitis"
"A88";"A88";"Oth viral infections of central nervous system, NEC";"A88 Oth viral infections of central nervous system, NEC"
"A89";"A89";"Unspecified viral infection of central nervous system";"A89 Unspecified viral infection of central nervous system"
"A90";"A90";"Dengue fever [classical dengue]";"A90 Dengue fever [classical dengue]"
"A91";"A91";"Dengue hemorrhagic fever";"A91 Dengue hemorrhagic fever"
"A92";"A92";"Other mosquito-borne viral fevers";"A92 Other mosquito-borne viral fevers"
"A93";"A93";"Other arthropod-borne viral fevers, not elsewhere classified";"A93 Other arthropod-borne viral fevers, not elsewhere classified"
"A94";"A94";"Unspecified arthropod-borne viral fever";"A94 Unspecified arthropod-borne viral fever"
"A95";"A95";"Yellow fever";"A95 Yellow fever"
"A96";"A96";"Arenaviral hemorrhagic fever";"A96 Arenaviral hemorrhagic fever"
"A98";"A98";"Other viral hemorrhagic fevers, not elsewhere classified";"A98 Other viral hemorrhagic fevers, not elsewhere classified"
"A99";"A99";"Unspecified viral hemorrhagic fever";"A99 Unspecified viral hemorrhagic fever"
"B00";"B00";"Herpesviral [herpes simplex] infections";"B00 Herpesviral [herpes simplex] infections"
"B01";"B01";"Varicella [chickenpox]";"B01 Varicella [chickenpox]"
"B02";"B02";"Zoster [herpes zoster]";"B02 Zoster [herpes zoster]"
"B03";"B03";"Smallpox";"B03 Smallpox"
"B04";"B04";"Monkeypox";"B04 Monkeypox"
"B05";"B05";"Measles";"B05 Measles"
"B06";"B06";"Rubella [German measles]";"B06 Rubella [German measles]"
"B07";"B07";"Viral warts";"B07 Viral warts"
"B08";"B08";"Oth viral infect with skin and mucous membrane lesions, NEC";"B08 Oth viral infect with skin and mucous membrane lesions, NEC"
"B09";"B09";"Unsp viral infection with skin and mucous membrane lesions";"B09 Unsp viral infection with skin and mucous membrane lesions"
"B10";"B10";"Other human herpesviruses";"B10 Other human herpesviruses"
"B15";"B15";"Acute hepatitis A";"B15 Acute hepatitis A"
"B16";"B16";"Acute hepatitis B";"B16 Acute hepatitis B"
"B17";"B17";"Other acute viral hepatitis";"B17 Other acute viral hepatitis"
"B18";"B18";"Chronic viral hepatitis";"B18 Chronic viral hepatitis"
"B19";"B19";"Unspecified viral hepatitis";"B19 Unspecified viral hepatitis"
"B20";"B20";"Human immunodeficiency virus [HIV] disease";"B20 Human immunodeficiency virus [HIV] disease"
"B25";"B25";"Cytomegaloviral disease";"B25 Cytomegaloviral disease"
"B26";"B26";"Mumps";"B26 Mumps"
"B27";"B27";"Infectious mononucleosis";"B27 Infectious mononucleosis"
"B30";"B30";"Viral conjunctivitis";"B30 Viral conjunctivitis"
"B33";"B33";"Other viral diseases, not elsewhere classified";"B33 Other viral diseases, not elsewhere classified"
"B34";"B34";"Viral infection of unspecified site";"B34 Viral infection of unspecified site"
"B35";"B35";"Dermatophytosis";"B35 Dermatophytosis"
"B36";"B36";"Other superficial mycoses";"B36 Other superficial mycoses"
"B37";"B37";"Candidiasis";"B37 Candidiasis"
"B38";"B38";"Coccidioidomycosis";"B38 Coccidioidomycosis"
"B39";"B39";"Histoplasmosis";"B39 Histoplasmosis"
"B40";"B40";"Blastomycosis";"B40 Blastomycosis"
"B41";"B41";"Paracoccidioidomycosis";"B41 Paracoccidioidomycosis"
"B42";"B42";"Sporotrichosis";"B42 Sporotrichosis"
"B43";"B43";"Chromomycosis and pheomycotic abscess";"B43 Chromomycosis and pheomycotic abscess"
"B44";"B44";"Aspergillosis";"B44 Aspergillosis"
"B45";"B45";"Cryptococcosis";"B45 Cryptococcosis"
"B46";"B46";"Zygomycosis";"B46 Zygomycosis"
"B47";"B47";"Mycetoma";"B47 Mycetoma"
"B48";"B48";"Other mycoses, not elsewhere classified";"B48 Other mycoses, not elsewhere classified"
"B49";"B49";"Unspecified mycosis";"B49 Unspecified mycosis"
"B50";"B50";"Plasmodium falciparum malaria";"B50 Plasmodium falciparum malaria"
"B51";"B51";"Plasmodium vivax malaria";"B51 Plasmodium vivax malaria"
"B52";"B52";"Plasmodium malariae malaria";"B52 Plasmodium malariae malaria"
"B53";"B53";"Other specified malaria";"B53 Other specified malaria"
"B54";"B54";"Unspecified malaria";"B54 Unspecified malaria"
"B55";"B55";"Leishmaniasis";"B55 Leishmaniasis"
"B56";"B56";"African trypanosomiasis";"B56 African trypanosomiasis"
"B57";"B57";"Chagas' disease";"B57 Chagas' disease"
"B58";"B58";"Toxoplasmosis";"B58 Toxoplasmosis"
"B59";"B59";"Pneumocystosis";"B59 Pneumocystosis"
"B60";"B60";"Other protozoal diseases, not elsewhere classified";"B60 Other protozoal diseases, not elsewhere classified"
"B64";"B64";"Unspecified protozoal disease";"B64 Unspecified protozoal disease"
"B65";"B65";"Schistosomiasis [bilharziasis]";"B65 Schistosomiasis [bilharziasis]"
"B66";"B66";"Other fluke infections";"B66 Other fluke infections"
"B67";"B67";"Echinococcosis";"B67 Echinococcosis"
"B68";"B68";"Taeniasis";"B68 Taeniasis"
"B69";"B69";"Cysticercosis";"B69 Cysticercosis"
"B70";"B70";"Diphyllobothriasis and sparganosis";"B70 Diphyllobothriasis and sparganosis"
"B71";"B71";"Other cestode infections";"B71 Other cestode infections"
"B72";"B72";"Dracunculiasis";"B72 Dracunculiasis"
"B73";"B73";"Onchocerciasis";"B73 Onchocerciasis"
"B74";"B74";"Filariasis";"B74 Filariasis"
"B75";"B75";"Trichinellosis";"B75 Trichinellosis"
"B76";"B76";"Hookworm diseases";"B76 Hookworm diseases"
"B77";"B77";"Ascariasis";"B77 Ascariasis"
"B78";"B78";"Strongyloidiasis";"B78 Strongyloidiasis"
"B79";"B79";"Trichuriasis";"B79 Trichuriasis"
"B80";"B80";"Enterobiasis";"B80 Enterobiasis"
"B81";"B81";"Other intestinal helminthiases, not elsewhere classified";"B81 Other intestinal helminthiases, not elsewhere classified"
"B82";"B82";"Unspecified intestinal parasitism";"B82 Unspecified intestinal parasitism"
"B83";"B83";"Other helminthiases";"B83 Other helminthiases"
"B85";"B85";"Pediculosis and phthiriasis";"B85 Pediculosis and phthiriasis"
"B86";"B86";"Scabies";"B86 Scabies"
"B87";"B87";"Myiasis";"B87 Myiasis"
"B88";"B88";"Other infestations";"B88 Other infestations"
"B89";"B89";"Unspecified parasitic disease";"B89 Unspecified parasitic disease"
"B90";"B90";"Sequelae of tuberculosis";"B90 Sequelae of tuberculosis"
"B91";"B91";"Sequelae of poliomyelitis";"B91 Sequelae of poliomyelitis"
"B92";"B92";"Sequelae of leprosy";"B92 Sequelae of leprosy"
"B94";"B94";"Sequelae of other and unsp infectious and parasitic diseases";"B94 Sequelae of other and unsp infectious and parasitic diseases"
"B95";"B95";"Strep as the cause of diseases classified elsewhere";"B95 Strep as the cause of diseases classified elsewhere"
"B96";"B96";"Oth bacterial agents as the cause of diseases classd elswhr";"B96 Oth bacterial agents as the cause of diseases classd elswhr"
"B97";"B97";"Viral agents as the cause of diseases classified elsewhere";"B97 Viral agents as the cause of diseases classified elsewhere"
"B99";"B99";"Other and unspecified infectious diseases";"B99 Other and unspecified infectious diseases"
"C00";"C00";"Malignant neoplasm of lip";"C00 Malignant neoplasm of lip"
"C01";"C01";"Malignant neoplasm of base of tongue";"C01 Malignant neoplasm of base of tongue"
"C02";"C02";"Malignant neoplasm of other and unspecified parts of tongue";"C02 Malignant neoplasm of other and unspecified parts of tongue"
"C03";"C03";"Malignant neoplasm of gum";"C03 Malignant neoplasm of gum"
"C04";"C04";"Malignant neoplasm of floor of mouth";"C04 Malignant neoplasm of floor of mouth"
"C05";"C05";"Malignant neoplasm of palate";"C05 Malignant neoplasm of palate"
"C06";"C06";"Malignant neoplasm of other and unspecified parts of mouth";"C06 Malignant neoplasm of other and unspecified parts of mouth"
"C07";"C07";"Malignant neoplasm of parotid gland";"C07 Malignant neoplasm of parotid gland"
"C08";"C08";"Malignant neoplasm of other and unsp major salivary glands";"C08 Malignant neoplasm of other and unsp major salivary glands"
"C09";"C09";"Malignant neoplasm of tonsil";"C09 Malignant neoplasm of tonsil"
"C10";"C10";"Malignant neoplasm of oropharynx";"C10 Malignant neoplasm of oropharynx"
"C11";"C11";"Malignant neoplasm of nasopharynx";"C11 Malignant neoplasm of nasopharynx"
"C12";"C12";"Malignant neoplasm of pyriform sinus";"C12 Malignant neoplasm of pyriform sinus"
"C13";"C13";"Malignant neoplasm of hypopharynx";"C13 Malignant neoplasm of hypopharynx"
"C14";"C14";"Malig neoplasm of sites in the lip, oral cavity and pharynx";"C14 Malig neoplasm of sites in the lip, oral cavity and pharynx"
"C15";"C15";"Malignant neoplasm of esophagus";"C15 Malignant neoplasm of esophagus"
"C16";"C16";"Malignant neoplasm of stomach";"C16 Malignant neoplasm of stomach"
"C17";"C17";"Malignant neoplasm of small intestine";"C17 Malignant neoplasm of small intestine"
"C18";"C18";"Malignant neoplasm of colon";"C18 Malignant neoplasm of colon"
"C19";"C19";"Malignant neoplasm of rectosigmoid junction";"C19 Malignant neoplasm of rectosigmoid junction"
"C20";"C20";"Malignant neoplasm of rectum";"C20 Malignant neoplasm of rectum"
"C21";"C21";"Malignant neoplasm of anus and anal canal";"C21 Malignant neoplasm of anus and anal canal"
"C22";"C22";"Malignant neoplasm of liver and intrahepatic bile ducts";"C22 Malignant neoplasm of liver and intrahepatic bile ducts"
"C23";"C23";"Malignant neoplasm of gallbladder";"C23 Malignant neoplasm of gallbladder"
"C24";"C24";"Malignant neoplasm of other and unsp parts of biliary tract";"C24 Malignant neoplasm of other and unsp parts of biliary tract"
"C25";"C25";"Malignant neoplasm of pancreas";"C25 Malignant neoplasm of pancreas"
"C26";"C26";"Malignant neoplasm of other and ill-defined digestive organs";"C26 Malignant neoplasm of other and ill-defined digestive organs"
"C30";"C30";"Malignant neoplasm of nasal cavity and middle ear";"C30 Malignant neoplasm of nasal cavity and middle ear"
"C31";"C31";"Malignant neoplasm of accessory sinuses";"C31 Malignant neoplasm of accessory sinuses"
"C32";"C32";"Malignant neoplasm of larynx";"C32 Malignant neoplasm of larynx"
"C33";"C33";"Malignant neoplasm of trachea";"C33 Malignant neoplasm of trachea"
"C34";"C34";"Malignant neoplasm of bronchus and lung";"C34 Malignant neoplasm of bronchus and lung"
"C37";"C37";"Malignant neoplasm of thymus";"C37 Malignant neoplasm of thymus"
"C38";"C38";"Malignant neoplasm of heart, mediastinum and pleura";"C38 Malignant neoplasm of heart, mediastinum and pleura"
"C39";"C39";"Malig neoplm of sites in the resp sys and intrathorac organs";"C39 Malig neoplm of sites in the resp sys and intrathorac organs"
"C40";"C40";"Malignant neoplasm of bone and articular cartilage of limbs";"C40 Malignant neoplasm of bone and articular cartilage of limbs"
"C41";"C41";"Malignant neoplasm of bone/artic cartl of and unsp sites";"C41 Malignant neoplasm of bone/artic cartl of and unsp sites"
"C43";"C43";"Malignant melanoma of skin";"C43 Malignant melanoma of skin"
"C4A";"C4A";"Merkel cell carcinoma";"C4A Merkel cell carcinoma"
"C44";"C44";"Other and unspecified malignant neoplasm of skin";"C44 Other and unspecified malignant neoplasm of skin"
"C45";"C45";"Mesothelioma";"C45 Mesothelioma"
"C46";"C46";"Kaposi's sarcoma";"C46 Kaposi's sarcoma"
"C47";"C47";"Malignant neoplasm of prph nerves and autonomic nervous sys";"C47 Malignant neoplasm of prph nerves and autonomic nervous sys"
"C48";"C48";"Malignant neoplasm of retroperitoneum and peritoneum";"C48 Malignant neoplasm of retroperitoneum and peritoneum"
"C49";"C49";"Malignant neoplasm of other connective and soft tissue";"C49 Malignant neoplasm of other connective and soft tissue"
"C50";"C50";"Malignant neoplasm of breast";"C50 Malignant neoplasm of breast"
"C51";"C51";"Malignant neoplasm of vulva";"C51 Malignant neoplasm of vulva"
"C52";"C52";"Malignant neoplasm of vagina";"C52 Malignant neoplasm of vagina"
"C53";"C53";"Malignant neoplasm of cervix uteri";"C53 Malignant neoplasm of cervix uteri"
"C54";"C54";"Malignant neoplasm of corpus uteri";"C54 Malignant neoplasm of corpus uteri"
"C55";"C55";"Malignant neoplasm of uterus, part unspecified";"C55 Malignant neoplasm of uterus, part unspecified"
"C56";"C56";"Malignant neoplasm of ovary";"C56 Malignant neoplasm of ovary"
"C57";"C57";"Malignant neoplasm of other and unsp female genital organs";"C57 Malignant neoplasm of other and unsp female genital organs"
"C58";"C58";"Malignant neoplasm of placenta";"C58 Malignant neoplasm of placenta"
"C60";"C60";"Malignant neoplasm of penis";"C60 Malignant neoplasm of penis"
"C61";"C61";"Malignant neoplasm of prostate";"C61 Malignant neoplasm of prostate"
"C62";"C62";"Malignant neoplasm of testis";"C62 Malignant neoplasm of testis"
"C63";"C63";"Malignant neoplasm of other and unsp male genital organs";"C63 Malignant neoplasm of other and unsp male genital organs"
"C64";"C64";"Malignant neoplasm of kidney, except renal pelvis";"C64 Malignant neoplasm of kidney, except renal pelvis"
"C65";"C65";"Malignant neoplasm of renal pelvis";"C65 Malignant neoplasm of renal pelvis"
"C66";"C66";"Malignant neoplasm of ureter";"C66 Malignant neoplasm of ureter"
"C67";"C67";"Malignant neoplasm of bladder";"C67 Malignant neoplasm of bladder"
"C68";"C68";"Malignant neoplasm of other and unspecified urinary organs";"C68 Malignant neoplasm of other and unspecified urinary organs"
"C69";"C69";"Malignant neoplasm of eye and adnexa";"C69 Malignant neoplasm of eye and adnexa"
"C70";"C70";"Malignant neoplasm of meninges";"C70 Malignant neoplasm of meninges"
"C71";"C71";"Malignant neoplasm of brain";"C71 Malignant neoplasm of brain"
"C72";"C72";"Malig neoplm of spinal cord, cranial nerves and oth prt cnsl";"C72 Malig neoplm of spinal cord, cranial nerves and oth prt cnsl"
"C73";"C73";"Malignant neoplasm of thyroid gland";"C73 Malignant neoplasm of thyroid gland"
"C74";"C74";"Malignant neoplasm of adrenal gland";"C74 Malignant neoplasm of adrenal gland"
"C75";"C75";"Malignant neoplasm of endo glands and related structures";"C75 Malignant neoplasm of endo glands and related structures"
"C7A";"C7A";"Malignant neuroendocrine tumors";"C7A Malignant neuroendocrine tumors"
"C7B";"C7B";"Secondary neuroendocrine tumors";"C7B Secondary neuroendocrine tumors"
"C76";"C76";"Malignant neoplasm of other and ill-defined sites";"C76 Malignant neoplasm of other and ill-defined sites"
"C77";"C77";"Secondary and unspecified malignant neoplasm of lymph nodes";"C77 Secondary and unspecified malignant neoplasm of lymph nodes"
"C78";"C78";"Secondary malignant neoplasm of resp and digestive organs";"C78 Secondary malignant neoplasm of resp and digestive organs"
"C79";"C79";"Secondary malignant neoplasm of other and unspecified sites";"C79 Secondary malignant neoplasm of other and unspecified sites"
"C80";"C80";"Malignant neoplasm without specification of site";"C80 Malignant neoplasm without specification of site"
"C81";"C81";"Hodgkin lymphoma";"C81 Hodgkin lymphoma"
"C82";"C82";"Follicular lymphoma";"C82 Follicular lymphoma"
"C83";"C83";"Non-follicular lymphoma";"C83 Non-follicular lymphoma"
"C84";"C84";"Mature T/NK-cell lymphomas";"C84 Mature T/NK-cell lymphomas"
"C85";"C85";"Oth and unspecified types of non-Hodgkin lymphoma";"C85 Oth and unspecified types of non-Hodgkin lymphoma"
"C86";"C86";"Other specified types of T/NK-cell lymphoma";"C86 Other specified types of T/NK-cell lymphoma"
"C88";"C88";"Malig immunoproliferative dis and certain oth B-cell lymph";"C88 Malig immunoproliferative dis and certain oth B-cell lymph"
"C90";"C90";"Multiple myeloma and malignant plasma cell neoplasms";"C90 Multiple myeloma and malignant plasma cell neoplasms"
"C91";"C91";"Lymphoid leukemia";"C91 Lymphoid leukemia"
"C92";"C92";"Myeloid leukemia";"C92 Myeloid leukemia"
"C93";"C93";"Monocytic leukemia";"C93 Monocytic leukemia"
"C94";"C94";"Other leukemias of specified cell type";"C94 Other leukemias of specified cell type"
"C95";"C95";"Leukemia of unspecified cell type";"C95 Leukemia of unspecified cell type"
"C96";"C96";"Oth & unsp malig neoplm of lymphoid, hematpoetc and rel tiss";"C96 Oth & unsp malig neoplm of lymphoid, hematpoetc and rel tiss"
"D00";"D00";"Carcinoma in situ of oral cavity, esophagus and stomach";"D00 Carcinoma in situ of oral cavity, esophagus and stomach"
"D01";"D01";"Carcinoma in situ of other and unspecified digestive organs";"D01 Carcinoma in situ of other and unspecified digestive organs"
"D02";"D02";"Carcinoma in situ of middle ear and respiratory system";"D02 Carcinoma in situ of middle ear and respiratory system"
"D03";"D03";"Melanoma in situ";"D03 Melanoma in situ"
"D04";"D04";"Carcinoma in situ of skin";"D04 Carcinoma in situ of skin"
"D05";"D05";"Carcinoma in situ of breast";"D05 Carcinoma in situ of breast"
"D06";"D06";"Carcinoma in situ of cervix uteri";"D06 Carcinoma in situ of cervix uteri"
"D07";"D07";"Carcinoma in situ of other and unspecified genital organs";"D07 Carcinoma in situ of other and unspecified genital organs"
"D09";"D09";"Carcinoma in situ of other and unspecified sites";"D09 Carcinoma in situ of other and unspecified sites"
"D10";"D10";"Benign neoplasm of mouth and pharynx";"D10 Benign neoplasm of mouth and pharynx"
"D11";"D11";"Benign neoplasm of major salivary glands";"D11 Benign neoplasm of major salivary glands"
"D12";"D12";"Benign neoplasm of colon, rectum, anus and anal canal";"D12 Benign neoplasm of colon, rectum, anus and anal canal"
"D13";"D13";"Benign neoplasm of and ill-defined parts of digestive system";"D13 Benign neoplasm of and ill-defined parts of digestive system"
"D14";"D14";"Benign neoplasm of middle ear and respiratory system";"D14 Benign neoplasm of middle ear and respiratory system"
"D15";"D15";"Benign neoplasm of other and unsp intrathoracic organs";"D15 Benign neoplasm of other and unsp intrathoracic organs"
"D16";"D16";"Benign neoplasm of bone and articular cartilage";"D16 Benign neoplasm of bone and articular cartilage"
"D17";"D17";"Benign lipomatous neoplasm";"D17 Benign lipomatous neoplasm"
"D18";"D18";"Hemangioma and lymphangioma, any site";"D18 Hemangioma and lymphangioma, any site"
"D19";"D19";"Benign neoplasm of mesothelial tissue";"D19 Benign neoplasm of mesothelial tissue"
"D20";"D20";"Benign neoplm of soft tissue of retroperiton and peritoneum";"D20 Benign neoplm of soft tissue of retroperiton and peritoneum"
"D21";"D21";"Other benign neoplasms of connective and other soft tissue";"D21 Other benign neoplasms of connective and other soft tissue"
"D22";"D22";"Melanocytic nevi";"D22 Melanocytic nevi"
"D23";"D23";"Other benign neoplasms of skin";"D23 Other benign neoplasms of skin"
"D24";"D24";"Benign neoplasm of breast";"D24 Benign neoplasm of breast"
"D25";"D25";"Leiomyoma of uterus";"D25 Leiomyoma of uterus"
"D26";"D26";"Other benign neoplasms of uterus";"D26 Other benign neoplasms of uterus"
"D27";"D27";"Benign neoplasm of ovary";"D27 Benign neoplasm of ovary"
"D28";"D28";"Benign neoplasm of other and unsp female genital organs";"D28 Benign neoplasm of other and unsp female genital organs"
"D29";"D29";"Benign neoplasm of male genital organs";"D29 Benign neoplasm of male genital organs"
"D30";"D30";"Benign neoplasm of urinary organs";"D30 Benign neoplasm of urinary organs"
"D31";"D31";"Benign neoplasm of eye and adnexa";"D31 Benign neoplasm of eye and adnexa"
"D32";"D32";"Benign neoplasm of meninges";"D32 Benign neoplasm of meninges"
"D33";"D33";"Benign neoplasm of brain and oth prt central nervous system";"D33 Benign neoplasm of brain and oth prt central nervous system"
"D34";"D34";"Benign neoplasm of thyroid gland";"D34 Benign neoplasm of thyroid gland"
"D35";"D35";"Benign neoplasm of other and unspecified endocrine glands";"D35 Benign neoplasm of other and unspecified endocrine glands"
"D36";"D36";"Benign neoplasm of other and unspecified sites";"D36 Benign neoplasm of other and unspecified sites"
"D3A";"D3A";"Benign neuroendocrine tumors";"D3A Benign neuroendocrine tumors"
"D37";"D37";"Neoplasm of uncrt behavior of oral cavity and dgstv organs";"D37 Neoplasm of uncrt behavior of oral cavity and dgstv organs"
"D38";"D38";"Neoplm of uncrt behav of mid ear & resp and intrathorac org";"D38 Neoplm of uncrt behav of mid ear & resp and intrathorac org"
"D39";"D39";"Neoplasm of uncertain behavior of female genital organs";"D39 Neoplasm of uncertain behavior of female genital organs"
"D40";"D40";"Neoplasm of uncertain behavior of male genital organs";"D40 Neoplasm of uncertain behavior of male genital organs"
"D41";"D41";"Neoplasm of uncertain behavior of urinary organs";"D41 Neoplasm of uncertain behavior of urinary organs"
"D42";"D42";"Neoplasm of uncertain behavior of meninges";"D42 Neoplasm of uncertain behavior of meninges"
"D43";"D43";"Neoplasm of uncertain behavior of brain and cnsl";"D43 Neoplasm of uncertain behavior of brain and cnsl"
"D44";"D44";"Neoplasm of uncertain behavior of endocrine glands";"D44 Neoplasm of uncertain behavior of endocrine glands"
"D45";"D45";"Polycythemia vera";"D45 Polycythemia vera"
"D46";"D46";"Myelodysplastic syndromes";"D46 Myelodysplastic syndromes"
"D47";"D47";"Oth neoplm of uncrt behav of lymphoid, hematpoetc & rel tiss";"D47 Oth neoplm of uncrt behav of lymphoid, hematpoetc & rel tiss"
"D48";"D48";"Neoplasm of uncertain behavior of other and unsp sites";"D48 Neoplasm of uncertain behavior of other and unsp sites"
"D49";"D49";"Neoplasms of unspecified behavior";"D49 Neoplasms of unspecified behavior"
"D50";"D50";"Iron deficiency anemia";"D50 Iron deficiency anemia"
"D51";"D51";"Vitamin B12 deficiency anemia";"D51 Vitamin B12 deficiency anemia"
"D52";"D52";"Folate deficiency anemia";"D52 Folate deficiency anemia"
"D53";"D53";"Other nutritional anemias";"D53 Other nutritional anemias"
"D55";"D55";"Anemia due to enzyme disorders";"D55 Anemia due to enzyme disorders"
"D56";"D56";"Thalassemia";"D56 Thalassemia"
"D57";"D57";"Sickle-cell disorders";"D57 Sickle-cell disorders"
"D58";"D58";"Other hereditary hemolytic anemias";"D58 Other hereditary hemolytic anemias"
"D59";"D59";"Acquired hemolytic anemia";"D59 Acquired hemolytic anemia"
"D60";"D60";"Acquired pure red cell aplasia [erythroblastopenia]";"D60 Acquired pure red cell aplasia [erythroblastopenia]"
"D61";"D61";"Oth aplastic anemias and other bone marrow failure syndromes";"D61 Oth aplastic anemias and other bone marrow failure syndromes"
"D62";"D62";"Acute posthemorrhagic anemia";"D62 Acute posthemorrhagic anemia"
"D63";"D63";"Anemia in chronic diseases classified elsewhere";"D63 Anemia in chronic diseases classified elsewhere"
"D64";"D64";"Other anemias";"D64 Other anemias"
"D65";"D65";"Disseminated intravascular coagulation";"D65 Disseminated intravascular coagulation"
"D66";"D66";"Hereditary factor VIII deficiency";"D66 Hereditary factor VIII deficiency"
